Education|Income|Customer_For|Age|AmountSpent|Children|Family_Size|Is_Parent|TotalAcceptedCmp|NumTotalPurchases
1|30992.0|37411200000000000|48|43|1|2|1|0|5
1|101970.0|40953600000000000|41|1135|0|1|0|4|27
0|71488.0|42854400000000000|59|559|0|2|0|0|16
1|79607.0|37497600000000000|40|1923|0|1|0|1|16
0|54348.0|1814400000000000|71|90|2|4|1|0|8
0|77376.0|4320000000000000|68|661|2|4|1|0|23
1|62998.0|23500800000000000|72|463|1|3|1|0|19
0|61331.0|41126400000000000|66|632|2|3|1|0|23
1|73448.0|12009600000000000|55|725|0|2|0|0|19
0|41551.0|27561600000000000|60|279|2|4|1|0|16
0|62981.0|40521600000000000|57|1482|0|2|0|1|23
1|9548.0|59616000000000000|48|29|1|2|1|0|6
0|33762.0|30844800000000000|65|106|3|5|1|0|9
0|35860.0|3542400000000000|51|49|2|3|1|2|6
0|36921.0|29030400000000000|59|38|2|3|1|0|7
0|92859.0|53395200000000000|32|2077|0|1|0|0|22
0|65104.0|19612800000000000|48|1053|1|3|1|1|17
1|86111.0|37670400000000000|62|1385|0|2|0|0|23
0|68352.0|26352000000000000|50|871|1|2|1|0|25
1|41883.0|40348800000000000|36|312|1|3|1|0|12
1|59809.0|53481600000000000|48|877|2|4|1|0|15
1|23957.0|52617600000000000|49|68|1|3|1|1|6
1|38547.0|26352000000000000|43|22|1|3|1|0|4
0|35688.0|58406400000000000|51|211|3|5|1|0|16
0|49605.0|691200000000000|58|127|0|2|0|0|8
0|59354.0|5702400000000000|71|459|2|4|1|0|16
1|65747.0|9849600000000000|55|460|1|3|1|1|19
0|46344.0|48556800000000000|52|429|1|3|1|0|17
1|34176.0|4147200000000000|36|89|1|2|1|0|11
0|61010.0|54259200000000000|72|1021|1|3|1|0|26
1|69372.0|42768000000000000|75|1381|0|2|0|3|21
1|49967.0|30758400000000000|66|306|1|2|1|0|15
1|60199.0|25056000000000000|46|18|3|4|1|0|4
1|55375.0|22032000000000000|47|162|1|3|1|0|9
1|80317.0|27043200000000000|69|1231|0|1|0|0|18
0|30523.0|31363200000000000|66|13|3|4|1|0|4
0|70356.0|51926400000000000|79|1706|0|2|0|0|27
1|23228.0|15120000000000000|40|121|1|3|1|0|11
0|74165.0|36633600000000000|49|1293|0|1|0|0|20
1|43482.0|19699200000000000|58|88|3|5|1|0|9
1|62551.0|19267200000000000|71|421|0|1|0|1|18
1|52332.0|26352000000000000|65|259|0|1|0|1|12
1|66951.0|20649600000000000|36|1117|0|1|0|0|15
1|26091.0|10713600000000000|67|89|2|4|1|0|9
1|33456.0|5961600000000000|59|36|2|4|1|0|6
1|28718.0|30326400000000000|42|57|1|3|1|0|7
1|50447.0|5961600000000000|54|148|2|4|1|0|8
0|53537.0|12960000000000000|65|93|2|4|1|0|8
1|52074.0|7430400000000000|57|119|1|2|1|1|7
0|80427.0|56592000000000000|49|1835|1|3|1|0|28
0|83837.0|48384000000000000|76|1318|0|2|0|3|25
0|38853.0|3196800000000000|54|45|2|4|1|0|7
1|38285.0|432000000000000|65|10|3|5|1|0|4
0|78497.0|18144000000000000|73|978|0|2|0|1|25
0|51650.0|4233600000000000|48|191|1|3|1|0|10
0|16248.0|4320000000000000|36|57|1|3|1|0|9
0|66835.0|23673600000000000|78|1033|0|2|0|0|24
0|30477.0|13651200000000000|40|66|1|3|1|0|6
1|28249.0|1209600000000000|63|43|0|2|0|0|6
1|25271.0|49334400000000000|41|50|1|3|1|0|5
0|32303.0|9763200000000000|54|39|1|2|1|0|7
1|61286.0|28598400000000000|58|608|1|3|1|0|18
1|74068.0|40348800000000000|48|1581|0|2|0|0|24
0|45759.0|42422400000000000|60|68|2|4|1|0|7
1|24882.0|56851200000000000|46|80|1|3|1|1|5
0|66973.0|35251200000000000|35|1282|0|2|0|0|28
1|38872.0|34128000000000000|36|91|1|3|1|0|8
1|51148.0|42854400000000000|51|315|2|4|1|0|16
1|31353.0|15724800000000000|47|31|2|4|1|0|6
0|69661.0|4060800000000000|44|834|0|2|0|0|23
1|80067.0|24451200000000000|70|1600|0|2|0|1|17
1|86718.0|45619200000000000|70|1270|0|2|0|0|17
0|46854.0|7776000000000000|51|263|2|3|1|2|15
1|69142.0|0|72|535|1|2|1|1|19
1|75922.0|17452800000000000|56|1295|0|1|0|0|18
1|63693.0|22291200000000000|46|1150|1|2|1|0|29
0|102160.0|52185600000000000|47|1240|0|2|0|4|26
0|40637.0|29980800000000000|59|38|2|3|1|0|6
0|18890.0|51494400000000000|40|35|0|1|0|2|4
1|29604.0|17539200000000000|36|53|1|3|1|1|5
0|48721.0|35596800000000000|61|293|2|3|1|0|17
1|44794.0|1814400000000000|58|65|1|3|1|0|6
1|64497.0|56764800000000000|70|1804|1|2|1|2|29
1|46097.0|39312000000000000|68|241|1|3|1|0|15
1|77972.0|8899200000000000|70|1101|0|2|0|0|20
0|44377.0|54604800000000000|56|264|2|4|1|0|19
0|46014.0|45273600000000000|50|541|2|4|1|0|26
1|70951.0|36374400000000000|39|1198|0|2|0|0|17
1|41443.0|7689600000000000|47|482|1|3|1|0|20
0|52195.0|4147200000000000|46|17|3|4|1|0|4
0|83790.0|19526400000000000|76|1615|0|2|0|2|25
0|44551.0|26092800000000000|70|285|1|2|1|0|12
1|69508.0|51148800000000000|44|1135|1|3|1|0|28
0|45204.0|6825600000000000|36|114|1|3|1|0|7
1|72460.0|19612800000000000|55|1047|0|2|0|0|16
0|77622.0|6566400000000000|54|714|2|4|1|0|22
0|30732.0|46656000000000000|44|185|1|3|1|0|13
1|63887.0|56937600000000000|62|1245|1|2|1|0|32
1|42011.0|39744000000000000|46|189|1|3|1|0|12
1|51369.0|52876800000000000|48|576|1|3|1|0|16
1|51537.0|48988800000000000|72|1103|1|2|1|0|18
0|79930.0|59616000000000000|52|1753|0|2|0|0|17
0|34320.0|11491200000000000|38|17|1|3|1|0|4
1|37070.0|40262400000000000|58|433|2|3|1|1|23
0|81975.0|46656000000000000|62|1588|1|2|1|1|14
1|38590.0|35424000000000000|53|22|1|3|1|0|4
1|15033.0|6393600000000000|73|19|0|1|0|0|5
0|62745.0|40003200000000000|59|1117|1|3|1|0|29
0|22212.0|17452800000000000|49|69|1|3|1|0|8
0|23661.0|17884800000000000|42|23|1|3|1|0|5
0|79761.0|23155200000000000|66|605|1|2|1|0|19
1|7500.0|15984000000000000|51|57|1|2|1|0|11
1|73455.0|21081600000000000|56|2088|0|1|0|1|22
1|64961.0|47779200000000000|66|1009|1|3|1|0|16
1|22804.0|28771200000000000|53|26|1|2|1|0|5
1|73687.0|18403200000000000|34|1627|0|2|0|2|22
1|61074.0|58838400000000000|66|1102|1|3|1|0|31
0|31686.0|2073600000000000|60|17|2|4|1|0|6
1|80134.0|34992000000000000|52|1690|1|3|1|4|16
1|75027.0|46310400000000000|71|1390|1|3|1|0|21
0|67546.0|57628800000000000|36|2126|0|2|0|0|20
0|65176.0|52531200000000000|55|1531|1|3|1|0|25
0|31160.0|24710400000000000|49|64|1|2|1|0|7
1|29938.0|21168000000000000|39|26|1|2|1|0|6
1|102692.0|38880000000000000|50|1112|0|1|0|5|29
0|26490.0|55728000000000000|66|210|0|2|0|0|11
1|75702.0|57801600000000000|57|1148|2|4|1|0|26
0|30899.0|53913600000000000|50|33|1|2|1|0|6
0|63342.0|53654400000000000|63|1101|1|3|1|1|19
1|45989.0|53136000000000000|60|322|1|2|1|0|16
1|18701.0|33696000000000000|60|44|2|3|1|0|10
0|40737.0|17539200000000000|67|17|3|4|1|0|4
1|15287.0|54172800000000000|45|31|1|2|1|2|6
0|69674.0|34819200000000000|56|845|2|3|1|0|25
0|44159.0|1036800000000000|54|275|1|3|1|0|15
0|37717.0|50371200000000000|46|25|1|3|1|0|4
0|43776.0|44150400000000000|72|275|2|4|1|1|17
0|38179.0|40780800000000000|58|90|2|4|1|0|11
1|80124.0|259200000000000|61|1495|0|2|0|1|19
0|38097.0|53740800000000000|54|184|2|4|1|2|11
1|72940.0|32400000000000000|54|981|0|2|0|0|13
1|22070.0|23155200000000000|54|67|1|3|1|0|8
1|69267.0|55728000000000000|71|1635|0|1|0|1|14
0|31788.0|8726400000000000|41|60|1|2|1|0|10
0|61905.0|12528000000000000|49|231|1|3|1|0|12
1|29315.0|7257600000000000|64|48|2|4|1|0|10
1|33378.0|43891200000000000|61|99|2|3|1|0|9
0|66313.0|24710400000000000|61|770|1|3|1|0|23
1|60714.0|45619200000000000|68|957|0|1|0|1|23
0|77882.0|5184000000000000|43|818|0|2|0|0|12
0|69867.0|39139200000000000|38|925|0|1|0|2|17
0|63841.0|37497600000000000|56|908|1|2|1|0|22
1|24480.0|43459200000000000|43|102|1|3|1|0|10
1|51369.0|52876800000000000|48|576|1|3|1|0|16
1|37760.0|57628800000000000|78|317|0|2|0|0|13
0|65640.0|10368000000000000|50|461|1|3|1|0|15
0|44319.0|6307200000000000|49|37|2|4|1|0|7
1|30631.0|30412800000000000|50|70|1|3|1|0|7
1|75278.0|44582400000000000|72|930|0|2|0|0|23
0|50898.0|46396800000000000|68|859|2|4|1|0|33
1|79946.0|4147200000000000|58|1478|0|1|0|0|22
0|35416.0|32918400000000000|75|390|0|1|0|0|16
0|32414.0|31104000000000000|40|52|0|2|0|1|5
1|38361.0|15897600000000000|55|137|1|3|1|0|10
1|82497.0|52358400000000000|44|1919|0|2|0|1|19
1|16626.0|14256000000000000|53|68|2|4|1|0|9
1|29672.0|40953600000000000|59|25|2|4|1|0|4
0|55951.0|58320000000000000|72|1374|1|3|1|2|23
0|35388.0|41385600000000000|36|32|1|2|1|0|5
0|42386.0|45964800000000000|38|100|1|3|1|0|7
1|68627.0|46051200000000000|42|825|0|1|0|0|12
0|57912.0|8985600000000000|59|916|1|2|1|1|28
1|35246.0|6393600000000000|66|62|2|3|1|0|11
0|58821.0|22464000000000000|68|728|1|3|1|0|21
0|46377.0|10368000000000000|46|90|1|3|1|0|7
1|39747.0|6652800000000000|36|273|1|2|1|0|13
1|23976.0|15897600000000000|40|66|1|3|1|0|10
0|80950.0|39571200000000000|63|1213|0|2|0|1|23
1|27038.0|56073600000000000|58|107|0|1|0|1|7
1|77457.0|10022400000000000|77|1157|0|1|0|1|18
0|64100.0|25228800000000000|60|546|1|3|1|1|18
0|42670.0|36979200000000000|32|241|0|2|0|0|11
1|12571.0|13996800000000000|48|53|1|2|1|0|11
1|22574.0|21081600000000000|57|37|3|5|1|0|7
0|70893.0|43891200000000000|48|1508|0|1|0|0|23
1|54198.0|16761600000000000|58|235|2|4|1|0|16
0|28839.0|9504000000000000|68|32|2|4|1|0|7
1|40321.0|28944000000000000|52|102|2|4|1|0|8
1|66503.0|59097600000000000|39|401|1|2|1|0|15
1|30833.0|30067200000000000|73|28|2|4|1|0|6
1|64795.0|45619200000000000|53|680|1|3|1|0|21
1|34421.0|31363200000000000|50|30|1|3|1|0|4
0|47025.0|12096000000000000|59|20|2|3|1|0|4
0|64325.0|43804800000000000|63|1307|1|2|1|0|23
1|40464.0|46137600000000000|71|630|1|2|1|0|24
1|62187.0|31017600000000000|67|1283|0|2|0|0|18
0|14849.0|31276800000000000|48|65|1|2|1|0|9
1|27255.0|20217600000000000|40|37|1|3|1|0|5
0|54432.0|35942400000000000|74|38|3|5|1|0|5
0|29999.0|43286400000000000|38|160|1|2|1|0|12
1|24072.0|37929600000000000|41|23|1|2|1|0|4
0|33996.0|25142400000000000|35|71|0|1|0|0|6
0|66334.0|39052800000000000|68|1161|1|3|1|1|19
0|35178.0|46224000000000000|53|59|1|3|1|2|5
1|22010.0|31449600000000000|41|33|1|3|1|0|7
1|62204.0|56592000000000000|64|946|2|3|1|0|22
1|75693.0|49248000000000000|56|1442|0|1|0|4|22
1|30675.0|51321600000000000|52|62|1|3|1|0|5
1|83003.0|41731200000000000|59|1674|0|2|0|2|22
1|68655.0|59443200000000000|36|1538|0|1|0|0|21
1|41411.0|17625600000000000|38|139|0|1|0|0|8
0|55212.0|50371200000000000|55|1182|1|3|1|2|20
0|59292.0|32918400000000000|74|507|1|3|1|0|18
1|27190.0|27475200000000000|51|18|1|3|1|2|4
1|82623.0|19958400000000000|72|940|0|1|0|0|16
1|44300.0|32054400000000000|59|42|2|4|1|0|6
1|84835.0|1123200000000000|54|1190|0|1|0|1|15
1|30372.0|47606400000000000|53|44|2|3|1|0|8
0|33181.0|15292800000000000|48|16|1|3|1|1|4
1|71113.0|16761600000000000|67|835|1|3|1|0|26
1|71952.0|46224000000000000|38|1443|1|3|1|2|22
0|69759.0|21081600000000000|58|1029|0|1|0|1|18
1|72099.0|52704000000000000|50|1188|0|2|0|0|18
0|60000.0|47865600000000000|48|1277|1|2|1|0|24
1|38643.0|18316800000000000|46|49|2|3|1|0|7
1|50737.0|35769600000000000|69|99|1|3|1|1|7
0|68462.0|48729600000000000|55|1670|0|2|0|0|15
0|65073.0|27043200000000000|81|900|0|2|0|0|14
0|46681.0|22809600000000000|76|425|2|4|1|0|16
1|78618.0|55209600000000000|67|2153|0|2|0|1|22
0|62187.0|8553600000000000|55|636|1|2|1|0|21
1|28442.0|10800000000000000|46|57|2|4|1|0|10
0|37717.0|50371200000000000|46|25|1|3|1|0|4
1|51479.0|47347200000000000|57|494|2|4|1|0|22
1|54803.0|58492800000000000|55|693|1|2|1|0|19
1|79530.0|35251200000000000|64|1348|0|2|0|0|26
1|31615.0|40608000000000000|48|51|1|2|1|0|7
1|72025.0|50889600000000000|62|1932|0|2|0|0|16
0|52614.0|49680000000000000|49|990|1|2|1|0|16
0|35684.0|5875200000000000|40|30|1|3|1|0|5
1|48178.0|52617600000000000|49|254|2|4|1|0|16
0|29548.0|26265600000000000|54|29|1|2|1|1|5
1|63810.0|51408000000000000|58|1371|1|2|1|1|23
0|38578.0|32140800000000000|52|73|2|3|1|1|9
0|46098.0|58752000000000000|49|120|2|3|1|0|11
1|22585.0|40435200000000000|54|81|0|1|0|2|5
1|30279.0|47174400000000000|35|37|1|2|1|0|5
0|66426.0|23328000000000000|63|1377|1|3|1|0|20
1|30822.0|32832000000000000|55|51|1|2|1|0|5
0|33581.0|46396800000000000|55|17|2|4|1|0|4
1|19986.0|19612800000000000|39|22|1|3|1|0|4
1|27421.0|48729600000000000|70|324|0|1|0|0|14
0|35688.0|58406400000000000|51|211|3|5|1|0|16
0|36143.0|7862400000000000|43|19|1|2|1|0|4
1|10245.0|35424000000000000|53|41|1|2|1|0|8
0|43795.0|22118400000000000|56|492|1|3|1|2|17
1|63381.0|54604800000000000|64|1005|1|3|1|0|26
1|38823.0|57715200000000000|75|114|1|3|1|0|7
0|83664.0|36028800000000000|56|1173|2|3|1|0|19
1|90300.0|15292800000000000|45|1738|0|2|0|1|19
0|62499.0|17452800000000000|45|222|1|3|1|0|12
1|74293.0|4838400000000000|31|1127|0|1|0|0|16
0|51012.0|37756800000000000|78|209|0|2|0|0|10
0|70777.0|10713600000000000|56|787|1|3|1|0|23
0|68682.0|22982400000000000|33|1598|0|2|0|0|24
1|43824.0|56332800000000000|53|186|2|4|1|0|12
1|15345.0|57628800000000000|40|47|1|3|1|1|6
1|23442.0|47692800000000000|37|27|1|2|1|0|5
0|14515.0|51580800000000000|44|96|1|3|1|1|11
0|31395.0|40003200000000000|68|64|2|3|1|0|10
1|75276.0|55296000000000000|59|1040|0|2|0|0|23
1|42373.0|27475200000000000|50|163|2|3|1|0|13
1|30507.0|41040000000000000|64|343|0|2|0|0|11
0|55521.0|21600000000000000|69|446|3|4|1|2|24
1|48006.0|1728000000000000|59|41|2|4|1|0|5
0|27213.0|57715200000000000|52|70|1|2|1|1|9
0|65808.0|2592000000000000|53|272|2|3|1|0|14
0|30351.0|33523200000000000|50|46|1|3|1|0|6
1|50437.0|53568000000000000|61|490|2|4|1|0|19
0|23616.0|50889600000000000|42|79|1|2|1|1|8
1|53858.0|51580800000000000|48|915|1|3|1|0|17
0|66465.0|39398400000000000|69|1485|1|3|1|1|35
1|46923.0|58406400000000000|37|369|1|2|1|0|16
1|75072.0|45100800000000000|62|1073|1|3|1|0|19
0|75865.0|7776000000000000|81|1242|0|2|0|0|19
0|19789.0|19094400000000000|49|78|1|3|1|1|9
1|80134.0|11664000000000000|30|1378|0|2|0|4|21
1|91065.0|42508800000000000|43|1474|0|1|0|3|26
0|49505.0|41558400000000000|53|751|2|4|1|0|29
0|37401.0|4665600000000000|51|48|1|3|1|0|7
1|30096.0|3283200000000000|41|45|1|3|1|0|6
0|18492.0|2073600000000000|42|10|1|3|1|0|4
0|82584.0|33696000000000000|50|1435|0|2|0|3|16
0|93027.0|38188800000000000|83|2119|0|2|0|1|22
1|48686.0|17884800000000000|71|20|3|5|1|0|4
1|92910.0|5702400000000000|38|1795|0|2|0|3|27
1|75433.0|7344000000000000|35|1188|1|3|1|2|19
0|10404.0|4838400000000000|35|43|1|3|1|0|7
1|61314.0|37152000000000000|56|1008|1|3|1|0|24
0|84865.0|35942400000000000|63|1688|0|1|0|5|16
1|42387.0|52531200000000000|35|684|1|3|1|0|21
0|67309.0|45100800000000000|57|1082|2|4|1|0|39
1|75236.0|18662400000000000|60|1068|1|3|1|0|25
1|30015.0|12700800000000000|54|57|1|2|1|0|7
0|50943.0|32227200000000000|68|46|1|3|1|0|5
1|67272.0|16416000000000000|58|733|1|2|1|0|23
0|51529.0|25488000000000000|75|467|1|2|1|0|17
0|32011.0|26870400000000000|53|122|1|3|1|0|10
0|7500.0|43804800000000000|38|36|1|3|1|0|7
1|28691.0|31104000000000000|35|34|1|3|1|0|5
0|56223.0|16502400000000000|76|156|1|3|1|0|10
1|18100.0|28252800000000000|78|14|0|2|0|0|4
1|30279.0|47174400000000000|35|37|1|2|1|0|5
0|20130.0|8985600000000000|50|34|0|2|0|0|5
1|23295.0|30326400000000000|65|20|0|1|0|0|4
0|42618.0|22723200000000000|52|192|1|2|1|0|11
1|81246.0|15724800000000000|60|1379|0|1|0|2|17
1|24027.0|33264000000000000|48|48|1|3|1|0|7
0|55707.0|16329600000000000|71|428|1|3|1|0|16
1|57959.0|36547200000000000|69|868|1|2|1|0|27
1|56796.0|43027200000000000|55|1001|1|3|1|0|27
0|36230.0|22032000000000000|53|59|1|2|1|0|7
0|70829.0|18144000000000000|44|431|2|4|1|0|16
1|65991.0|57024000000000000|48|971|1|3|1|0|27
1|38988.0|58579200000000000|52|348|3|5|1|0|19
0|89572.0|56332800000000000|58|2059|0|1|0|3|24
0|42207.0|39225600000000000|40|265|1|3|1|2|14
1|50300.0|3024000000000000|72|270|1|3|1|0|13
0|66664.0|55468800000000000|42|1289|0|2|0|0|19
1|60597.0|15465600000000000|60|893|1|3|1|2|16
1|70165.0|24192000000000000|75|926|0|1|0|0|22
0|50520.0|13132800000000000|66|135|1|2|1|0|9
1|80124.0|259200000000000|61|1495|0|2|0|1|19
1|33183.0|10800000000000000|49|120|1|3|1|0|9
0|66582.0|10195200000000000|55|1288|0|1|0|0|20
0|75261.0|37324800000000000|69|1743|0|2|0|3|17
1|31880.0|52358400000000000|54|15|1|2|1|0|4
1|53790.0|9936000000000000|73|542|2|4|1|0|20
0|49269.0|59011200000000000|53|890|1|3|1|0|25
1|61456.0|39657600000000000|49|1388|1|3|1|0|33
1|37406.0|22636800000000000|44|17|1|3|1|1|4
0|56937.0|59961600000000000|43|906|1|3|1|2|30
1|38415.0|46915200000000000|46|44|2|4|1|0|6
1|20518.0|3628800000000000|36|25|1|2|1|0|5
1|62503.0|42854400000000000|68|973|1|3|1|0|26
0|41644.0|4406400000000000|52|31|2|3|1|0|6
0|55842.0|3196800000000000|47|518|1|3|1|0|17
0|62010.0|53049600000000000|52|530|1|3|1|0|19
1|41124.0|52358400000000000|47|506|1|3|1|0|21
0|38961.0|15638400000000000|51|70|1|3|1|0|6
0|37760.0|27820800000000000|52|54|1|2|1|0|6
1|32233.0|58665600000000000|50|296|1|2|1|2|12
1|43057.0|20908800000000000|49|266|1|3|1|0|15
0|83151.0|54172800000000000|64|747|0|2|0|0|19
0|78825.0|56419200000000000|60|895|0|1|0|1|29
0|65104.0|19612800000000000|48|1053|1|3|1|0|17
1|60093.0|31795200000000000|50|735|1|3|1|0|21
1|14045.0|13305600000000000|55|20|1|3|1|0|5
0|28457.0|52617600000000000|72|205|0|1|0|0|10
0|78952.0|55555200000000000|66|2092|1|3|1|0|21
1|46310.0|49507200000000000|48|309|1|2|1|0|14
1|76005.0|42508800000000000|69|1722|0|2|0|1|22
0|58308.0|46051200000000000|60|900|1|2|1|0|15
0|55614.0|18489600000000000|80|682|0|1|0|1|20
0|59432.0|38188800000000000|62|663|1|2|1|0|22
1|55563.0|7344000000000000|46|43|1|2|1|0|6
0|78642.0|37497600000000000|53|1816|1|3|1|0|18
0|67911.0|3283200000000000|75|976|1|3|1|0|27
1|65275.0|39052800000000000|80|746|0|2|0|0|21
1|27203.0|59788800000000000|74|64|2|4|1|0|6
0|48330.0|19526400000000000|63|32|1|3|1|0|5
1|24279.0|47260800000000000|34|263|0|2|0|0|9
0|64355.0|58233600000000000|39|1445|1|3|1|0|21
0|50943.0|32227200000000000|68|46|1|3|1|0|5
1|53653.0|51753600000000000|71|1210|0|1|0|0|28
1|65665.0|18057600000000000|48|945|1|3|1|0|24
1|81217.0|29808000000000000|35|1157|0|1|0|0|22
