	Education	Income	Customer_For	Age	AmountSpent	Children	Family_Size	Is_Parent	TotalAcceptedCmp	NumTotalPurchases	Clusters
121	0	32557.0	10800000000000000	57	80	1	2	1	1	9	1
122	0	19510.0	25747200000000000	39	30	2	4	1	0	6	1
123	1	30992.0	37411200000000000	48	43	1	2	1	0	5	1
124	1	101970.0	40953600000000000	41	1135	0	1	0	4	27	0
125	0	71488.0	42854400000000000	59	559	0	2	0	0	16	2
126	1	79607.0	37497600000000000	40	1923	0	1	0	1	16	0
127	0	54348.0	1814400000000000	71	90	2	4	1	0	8	1
129	0	77376.0	4320000000000000	68	661	2	4	1	0	23	3
130	1	62998.0	23500800000000000	72	463	1	3	1	0	19	3
131	0	61331.0	41126400000000000	66	632	2	3	1	0	23	3
132	1	73448.0	12009600000000000	55	725	0	2	0	0	19	2
134	0	41551.0	27561600000000000	60	279	2	4	1	0	16	1
135	0	62981.0	40521600000000000	57	1482	0	2	0	1	23	0
136	1	9548.0	59616000000000000	48	29	1	2	1	0	6	1
137	0	33762.0	30844800000000000	65	106	3	5	1	0	9	1
138	0	35860.0	3542400000000000	51	49	2	3	1	2	6	1
139	0	36921.0	29030400000000000	59	38	2	3	1	0	7	1
140	0	92859.0	53395200000000000	32	2077	0	1	0	0	22	0
141	0	65104.0	19612800000000000	48	1053	1	3	1	1	17	3
142	1	86111.0	37670400000000000	62	1385	0	2	0	0	23	2
143	0	68352.0	26352000000000000	50	871	1	2	1	0	25	3
144	1	41883.0	40348800000000000	36	312	1	3	1	0	12	1
145	1	59809.0	53481600000000000	48	877	2	4	1	0	15	3
146	1	23957.0	52617600000000000	49	68	1	3	1	1	6	1
147	1	38547.0	26352000000000000	43	22	1	3	1	0	4	1
148	0	35688.0	58406400000000000	51	211	3	5	1	0	16	1
149	0	49605.0	691200000000000	58	127	0	2	0	0	8	2
150	0	59354.0	5702400000000000	71	459	2	4	1	0	16	3
151	1	65747.0	9849600000000000	55	460	1	3	1	1	19	3
152	0	46344.0	48556800000000000	52	429	1	3	1	0	17	3
153	1	34176.0	4147200000000000	36	89	1	2	1	0	11	1
154	0	61010.0	54259200000000000	72	1021	1	3	1	0	26	3
155	1	69372.0	42768000000000000	75	1381	0	2	0	3	21	0
156	1	49967.0	30758400000000000	66	306	1	2	1	0	15	3
157	1	60199.0	25056000000000000	46	18	3	4	1	0	4	1
158	1	55375.0	22032000000000000	47	162	1	3	1	0	9	1
159	1	80317.0	27043200000000000	69	1231	0	1	0	0	18	2
160	0	30523.0	31363200000000000	66	13	3	4	1	0	4	1
161	0	70356.0	51926400000000000	79	1706	0	2	0	0	27	2
162	1	23228.0	15120000000000000	40	121	1	3	1	0	11	1
163	0	74165.0	36633600000000000	49	1293	0	1	0	0	20	2
165	1	43482.0	19699200000000000	58	88	3	5	1	0	9	1
166	1	62551.0	19267200000000000	71	421	0	1	0	1	18	2
167	1	52332.0	26352000000000000	65	259	0	1	0	1	12	2
168	1	66951.0	20649600000000000	36	1117	0	1	0	0	15	2
169	1	26091.0	10713600000000000	67	89	2	4	1	0	9	1
170	1	33456.0	5961600000000000	59	36	2	4	1	0	6	1
171	1	28718.0	30326400000000000	42	57	1	3	1	0	7	1
172	1	50447.0	5961600000000000	54	148	2	4	1	0	8	1
173	0	53537.0	12960000000000000	65	93	2	4	1	0	8	1
174	1	52074.0	7430400000000000	57	119	1	2	1	1	7	1
175	0	80427.0	56592000000000000	49	1835	1	3	1	0	28	3
176	0	83837.0	48384000000000000	76	1318	0	2	0	3	25	0
177	0	38853.0	3196800000000000	54	45	2	4	1	0	7	1
178	1	38285.0	432000000000000	65	10	3	5	1	0	4	1
179	0	78497.0	18144000000000000	73	978	0	2	0	1	25	2
180	0	51650.0	4233600000000000	48	191	1	3	1	0	10	1
181	0	16248.0	4320000000000000	36	57	1	3	1	0	9	1
182	0	66835.0	23673600000000000	78	1033	0	2	0	0	24	2
183	0	30477.0	13651200000000000	40	66	1	3	1	0	6	1
184	1	28249.0	1209600000000000	63	43	0	2	0	0	6	2
185	1	25271.0	49334400000000000	41	50	1	3	1	0	5	1
186	0	32303.0	9763200000000000	54	39	1	2	1	0	7	1
187	1	61286.0	28598400000000000	58	608	1	3	1	0	18	3
188	1	74068.0	40348800000000000	48	1581	0	2	0	0	24	2
189	0	45759.0	42422400000000000	60	68	2	4	1	0	7	1
190	1	24882.0	56851200000000000	46	80	1	3	1	1	5	1
191	0	66973.0	35251200000000000	35	1282	0	2	0	0	28	2
193	1	38872.0	34128000000000000	36	91	1	3	1	0	8	1
194	1	51148.0	42854400000000000	51	315	2	4	1	0	16	1
195	1	31353.0	15724800000000000	47	31	2	4	1	0	6	1
196	0	69661.0	4060800000000000	44	834	0	2	0	0	23	2
197	1	80067.0	24451200000000000	70	1600	0	2	0	1	17	0
198	1	86718.0	45619200000000000	70	1270	0	2	0	0	17	2
199	0	46854.0	7776000000000000	51	263	2	3	1	2	15	1
200	1	69142.0	0	72	535	1	2	1	1	19	3
201	1	75922.0	17452800000000000	56	1295	0	1	0	0	18	2
202	1	63693.0	22291200000000000	46	1150	1	2	1	0	29	3
203	0	102160.0	52185600000000000	47	1240	0	2	0	4	26	0
204	0	40637.0	29980800000000000	59	38	2	3	1	0	6	1
205	0	18890.0	51494400000000000	40	35	0	1	0	2	4	2
206	1	29604.0	17539200000000000	36	53	1	3	1	1	5	1
207	0	48721.0	35596800000000000	61	293	2	3	1	0	17	3
208	1	44794.0	1814400000000000	58	65	1	3	1	0	6	1
209	1	64497.0	56764800000000000	70	1804	1	2	1	2	29	3
210	1	46097.0	39312000000000000	68	241	1	3	1	0	15	3
211	1	77972.0	8899200000000000	70	1101	0	2	0	0	20	2
212	0	44377.0	54604800000000000	56	264	2	4	1	0	19	3
213	0	46014.0	45273600000000000	50	541	2	4	1	0	26	3
214	1	70951.0	36374400000000000	39	1198	0	2	0	0	17	2
215	1	41443.0	7689600000000000	47	482	1	3	1	0	20	1
216	0	52195.0	4147200000000000	46	17	3	4	1	0	4	1
217	0	83790.0	19526400000000000	76	1615	0	2	0	2	25	0
218	0	44551.0	26092800000000000	70	285	1	2	1	0	12	1
219	1	69508.0	51148800000000000	44	1135	1	3	1	0	28	3
220	0	45204.0	6825600000000000	36	114	1	3	1	0	7	1
221	1	72460.0	19612800000000000	55	1047	0	2	0	0	16	2
222	0	77622.0	6566400000000000	54	714	2	4	1	0	22	3
223	0	30732.0	46656000000000000	44	185	1	3	1	0	13	1
224	1	63887.0	56937600000000000	62	1245	1	2	1	0	32	3
225	1	42011.0	39744000000000000	46	189	1	3	1	0	12	1
226	1	51369.0	52876800000000000	48	576	1	3	1	0	16	3
227	1	51537.0	48988800000000000	72	1103	1	2	1	0	18	3
228	0	79930.0	59616000000000000	52	1753	0	2	0	0	17	2
229	0	34320.0	11491200000000000	38	17	1	3	1	0	4	1
230	1	37070.0	40262400000000000	58	433	2	3	1	1	23	3
231	0	81975.0	46656000000000000	62	1588	1	2	1	1	14	3
232	1	38590.0	35424000000000000	53	22	1	3	1	0	4	1
233	1	15033.0	6393600000000000	73	19	0	1	0	0	5	2
234	0	62745.0	40003200000000000	59	1117	1	3	1	0	29	3
235	0	22212.0	17452800000000000	49	69	1	3	1	0	8	1
236	0	23661.0	17884800000000000	42	23	1	3	1	0	5	1
237	0	79761.0	23155200000000000	66	605	1	2	1	0	19	3
238	1	7500.0	15984000000000000	51	57	1	2	1	0	11	1
240	1	73455.0	21081600000000000	56	2088	0	1	0	1	22	0
241	1	64961.0	47779200000000000	66	1009	1	3	1	0	16	3
242	1	22804.0	28771200000000000	53	26	1	2	1	0	5	1
243	1	73687.0	18403200000000000	34	1627	0	2	0	2	22	0
244	1	61074.0	58838400000000000	66	1102	1	3	1	0	31	3
245	0	31686.0	2073600000000000	60	17	2	4	1	0	6	1
246	1	80134.0	34992000000000000	52	1690	1	3	1	4	16	0
247	1	75027.0	46310400000000000	71	1390	1	3	1	0	21	3
248	0	67546.0	57628800000000000	36	2126	0	2	0	0	20	2
249	0	65176.0	52531200000000000	55	1531	1	3	1	0	25	3
250	0	31160.0	24710400000000000	49	64	1	2	1	0	7	1
251	1	29938.0	21168000000000000	39	26	1	2	1	0	6	1
252	1	102692.0	38880000000000000	50	1112	0	1	0	5	29	0
253	0	26490.0	55728000000000000	66	210	0	2	0	0	11	2
254	1	75702.0	57801600000000000	57	1148	2	4	1	0	26	3
255	0	30899.0	53913600000000000	50	33	1	2	1	0	6	1
256	0	63342.0	53654400000000000	63	1101	1	3	1	1	19	3
257	1	45989.0	53136000000000000	60	322	1	2	1	0	16	3
258	1	18701.0	33696000000000000	60	44	2	3	1	0	10	1
259	0	40737.0	17539200000000000	67	17	3	4	1	0	4	1
260	1	15287.0	54172800000000000	45	31	1	2	1	2	6	1
261	0	69674.0	34819200000000000	56	845	2	3	1	0	25	3
262	0	44159.0	1036800000000000	54	275	1	3	1	0	15	1
263	0	37717.0	50371200000000000	46	25	1	3	1	0	4	1
264	0	43776.0	44150400000000000	72	275	2	4	1	1	17	3
265	0	38179.0	40780800000000000	58	90	2	4	1	0	11	1
266	1	80124.0	259200000000000	61	1495	0	2	0	1	19	0
267	0	38097.0	53740800000000000	54	184	2	4	1	2	11	1
268	1	72940.0	32400000000000000	54	981	0	2	0	0	13	2
269	1	22070.0	23155200000000000	54	67	1	3	1	0	8	1
270	1	69267.0	55728000000000000	71	1635	0	1	0	1	14	2
271	0	31788.0	8726400000000000	41	60	1	2	1	0	10	1
272	0	61905.0	12528000000000000	49	231	1	3	1	0	12	1
273	1	29315.0	7257600000000000	64	48	2	4	1	0	10	1
274	1	33378.0	43891200000000000	61	99	2	3	1	0	9	1
275	0	66313.0	24710400000000000	61	770	1	3	1	0	23	3
276	1	60714.0	45619200000000000	68	957	0	1	0	1	23	2
277	0	77882.0	5184000000000000	43	818	0	2	0	0	12	2
278	0	69867.0	39139200000000000	38	925	0	1	0	2	17	0
279	0	63841.0	37497600000000000	56	908	1	2	1	0	22	3
280	1	24480.0	43459200000000000	43	102	1	3	1	0	10	1
281	1	51369.0	52876800000000000	48	576	1	3	1	0	16	3
282	1	37760.0	57628800000000000	78	317	0	2	0	0	13	2
283	0	65640.0	10368000000000000	50	461	1	3	1	0	15	3
284	0	44319.0	6307200000000000	49	37	2	4	1	0	7	1
285	1	30631.0	30412800000000000	50	70	1	3	1	0	7	1
286	1	75278.0	44582400000000000	72	930	0	2	0	0	23	2
287	0	50898.0	46396800000000000	68	859	2	4	1	0	33	3
288	1	79946.0	4147200000000000	58	1478	0	1	0	0	22	2
289	0	35416.0	32918400000000000	75	390	0	1	0	0	16	2
290	0	32414.0	31104000000000000	40	52	0	2	0	1	5	2
291	1	38361.0	15897600000000000	55	137	1	3	1	0	10	1
292	1	82497.0	52358400000000000	44	1919	0	2	0	1	19	0
293	1	16626.0	14256000000000000	53	68	2	4	1	0	9	1
294	1	29672.0	40953600000000000	59	25	2	4	1	0	4	1
295	0	55951.0	58320000000000000	72	1374	1	3	1	2	23	3
296	0	35388.0	41385600000000000	36	32	1	2	1	0	5	1
297	0	42386.0	45964800000000000	38	100	1	3	1	0	7	1
298	1	68627.0	46051200000000000	42	825	0	1	0	0	12	2
299	0	57912.0	8985600000000000	59	916	1	2	1	1	28	3
300	1	35246.0	6393600000000000	66	62	2	3	1	0	11	1
301	0	58821.0	22464000000000000	68	728	1	3	1	0	21	3
302	0	46377.0	10368000000000000	46	90	1	3	1	0	7	1
303	1	39747.0	6652800000000000	36	273	1	2	1	0	13	1
304	1	23976.0	15897600000000000	40	66	1	3	1	0	10	1
305	0	80950.0	39571200000000000	63	1213	0	2	0	1	23	0
306	1	27038.0	56073600000000000	58	107	0	1	0	1	7	2
307	1	77457.0	10022400000000000	77	1157	0	1	0	1	18	2
308	0	64100.0	25228800000000000	60	546	1	3	1	1	18	3
309	0	42670.0	36979200000000000	32	241	0	2	0	0	11	2
310	1	12571.0	13996800000000000	48	53	1	2	1	0	11	1
311	1	22574.0	21081600000000000	57	37	3	5	1	0	7	1
313	0	70893.0	43891200000000000	48	1508	0	1	0	0	23	2
314	1	54198.0	16761600000000000	58	235	2	4	1	0	16	1
315	0	28839.0	9504000000000000	68	32	2	4	1	0	7	1
316	1	40321.0	28944000000000000	52	102	2	4	1	0	8	1
317	1	66503.0	59097600000000000	39	401	1	2	1	0	15	3
318	1	30833.0	30067200000000000	73	28	2	4	1	0	6	1
320	1	64795.0	45619200000000000	53	680	1	3	1	0	21	3
321	1	34421.0	31363200000000000	50	30	1	3	1	0	4	1
322	0	47025.0	12096000000000000	59	20	2	3	1	0	4	1
323	0	64325.0	43804800000000000	63	1307	1	2	1	0	23	3
324	1	40464.0	46137600000000000	71	630	1	2	1	0	24	3
325	1	62187.0	31017600000000000	67	1283	0	2	0	0	18	2
326	0	14849.0	31276800000000000	48	65	1	2	1	0	9	1
327	1	27255.0	20217600000000000	40	37	1	3	1	0	5	1
328	0	54432.0	35942400000000000	74	38	3	5	1	0	5	1
329	0	29999.0	43286400000000000	38	160	1	2	1	0	12	1
330	1	24072.0	37929600000000000	41	23	1	2	1	0	4	1
331	0	33996.0	25142400000000000	35	71	0	1	0	0	6	2
332	0	66334.0	39052800000000000	68	1161	1	3	1	1	19	3
333	0	35178.0	46224000000000000	53	59	1	3	1	2	5	1
334	1	22010.0	31449600000000000	41	33	1	3	1	0	7	1
335	1	62204.0	56592000000000000	64	946	2	3	1	0	22	3
336	1	75693.0	49248000000000000	56	1442	0	1	0	4	22	0
337	1	30675.0	51321600000000000	52	62	1	3	1	0	5	1
338	1	83003.0	41731200000000000	59	1674	0	2	0	2	22	0
340	1	68655.0	59443200000000000	36	1538	0	1	0	0	21	2
341	1	41411.0	17625600000000000	38	139	0	1	0	0	8	2
342	0	55212.0	50371200000000000	55	1182	1	3	1	2	20	3
343	0	59292.0	32918400000000000	74	507	1	3	1	0	18	3
344	1	27190.0	27475200000000000	51	18	1	3	1	2	4	1
345	1	82623.0	19958400000000000	72	940	0	1	0	0	16	2
346	1	44300.0	32054400000000000	59	42	2	4	1	0	6	1
347	1	84835.0	1123200000000000	54	1190	0	1	0	1	15	2
348	1	30372.0	47606400000000000	53	44	2	3	1	0	8	1
349	0	33181.0	15292800000000000	48	16	1	3	1	1	4	1
350	1	71113.0	16761600000000000	67	835	1	3	1	0	26	3
351	1	71952.0	46224000000000000	38	1443	1	3	1	2	22	3
352	0	69759.0	21081600000000000	58	1029	0	1	0	1	18	2
353	1	72099.0	52704000000000000	50	1188	0	2	0	0	18	2
354	0	60000.0	47865600000000000	48	1277	1	2	1	0	24	3
355	1	38643.0	18316800000000000	46	49	2	3	1	0	7	1
356	1	50737.0	35769600000000000	69	99	1	3	1	1	7	1
357	0	68462.0	48729600000000000	55	1670	0	2	0	0	15	2
358	0	65073.0	27043200000000000	81	900	0	2	0	0	14	2
359	0	46681.0	22809600000000000	76	425	2	4	1	0	16	3
360	1	78618.0	55209600000000000	67	2153	0	2	0	1	22	0
361	0	62187.0	8553600000000000	55	636	1	2	1	0	21	3
362	1	28442.0	10800000000000000	46	57	2	4	1	0	10	1
363	0	37717.0	50371200000000000	46	25	1	3	1	0	4	1
364	1	51479.0	47347200000000000	57	494	2	4	1	0	22	3
365	1	54803.0	58492800000000000	55	693	1	2	1	0	19	3
366	1	79530.0	35251200000000000	64	1348	0	2	0	0	26	2
367	1	31615.0	40608000000000000	48	51	1	2	1	0	7	1
368	1	72025.0	50889600000000000	62	1932	0	2	0	0	16	2
369	0	52614.0	49680000000000000	49	990	1	2	1	0	16	3
370	0	35684.0	5875200000000000	40	30	1	3	1	0	5	1
371	1	48178.0	52617600000000000	49	254	2	4	1	0	16	1
372	0	29548.0	26265600000000000	54	29	1	2	1	1	5	1
373	1	63810.0	51408000000000000	58	1371	1	2	1	1	23	3
374	0	38578.0	32140800000000000	52	73	2	3	1	1	9	1
375	0	46098.0	58752000000000000	49	120	2	3	1	0	11	1
376	1	22585.0	40435200000000000	54	81	0	1	0	2	5	2
377	1	30279.0	47174400000000000	35	37	1	2	1	0	5	1
378	0	66426.0	23328000000000000	63	1377	1	3	1	0	20	3
379	1	30822.0	32832000000000000	55	51	1	2	1	0	5	1
380	0	33581.0	46396800000000000	55	17	2	4	1	0	4	1
381	1	19986.0	19612800000000000	39	22	1	3	1	0	4	1
382	1	27421.0	48729600000000000	70	324	0	1	0	0	14	2
383	0	35688.0	58406400000000000	51	211	3	5	1	0	16	1
384	0	36143.0	7862400000000000	43	19	1	2	1	0	4	1
385	1	10245.0	35424000000000000	53	41	1	2	1	0	8	1
386	0	43795.0	22118400000000000	56	492	1	3	1	2	17	3
387	1	63381.0	54604800000000000	64	1005	1	3	1	0	26	3
388	1	38823.0	57715200000000000	75	114	1	3	1	0	7	1
389	0	83664.0	36028800000000000	56	1173	2	3	1	0	19	3
390	1	90300.0	15292800000000000	45	1738	0	2	0	1	19	0
391	0	62499.0	17452800000000000	45	222	1	3	1	0	12	1
392	1	74293.0	4838400000000000	31	1127	0	1	0	0	16	2
393	0	51012.0	37756800000000000	78	209	0	2	0	0	10	2
394	0	70777.0	10713600000000000	56	787	1	3	1	0	23	3
395	0	68682.0	22982400000000000	33	1598	0	2	0	0	24	2
396	1	43824.0	56332800000000000	53	186	2	4	1	0	12	1
397	1	15345.0	57628800000000000	40	47	1	3	1	1	6	1
398	1	23442.0	47692800000000000	37	27	1	2	1	0	5	1
399	0	14515.0	51580800000000000	44	96	1	3	1	1	11	1
400	0	31395.0	40003200000000000	68	64	2	3	1	0	10	1
401	1	75276.0	55296000000000000	59	1040	0	2	0	0	23	2
402	1	42373.0	27475200000000000	50	163	2	3	1	0	13	1
403	1	30507.0	41040000000000000	64	343	0	2	0	0	11	2
404	0	55521.0	21600000000000000	69	446	3	4	1	2	24	3
405	1	48006.0	1728000000000000	59	41	2	4	1	0	5	1
406	0	27213.0	57715200000000000	52	70	1	2	1	1	9	1
407	0	65808.0	2592000000000000	53	272	2	3	1	0	14	1
408	0	30351.0	33523200000000000	50	46	1	3	1	0	6	1
409	1	50437.0	53568000000000000	61	490	2	4	1	0	19	3
410	0	23616.0	50889600000000000	42	79	1	2	1	1	8	1
411	1	53858.0	51580800000000000	48	915	1	3	1	0	17	3
412	0	66465.0	39398400000000000	69	1485	1	3	1	1	35	3
413	1	46923.0	58406400000000000	37	369	1	2	1	0	16	3
414	1	75072.0	45100800000000000	62	1073	1	3	1	0	19	3
415	0	75865.0	7776000000000000	81	1242	0	2	0	0	19	2
416	0	19789.0	19094400000000000	49	78	1	3	1	1	9	1
417	1	80134.0	11664000000000000	30	1378	0	2	0	4	21	0
418	1	91065.0	42508800000000000	43	1474	0	1	0	3	26	0
419	0	49505.0	41558400000000000	53	751	2	4	1	0	29	3
420	0	37401.0	4665600000000000	51	48	1	3	1	0	7	1
421	1	30096.0	3283200000000000	41	45	1	3	1	0	6	1
422	0	18492.0	2073600000000000	42	10	1	3	1	0	4	1
423	0	82584.0	33696000000000000	50	1435	0	2	0	3	16	0
424	0	93027.0	38188800000000000	83	2119	0	2	0	1	22	0
425	1	48686.0	17884800000000000	71	20	3	5	1	0	4	1
426	1	92910.0	5702400000000000	38	1795	0	2	0	3	27	0
427	1	75433.0	7344000000000000	35	1188	1	3	1	2	19	3
428	0	10404.0	4838400000000000	35	43	1	3	1	0	7	1
429	1	61314.0	37152000000000000	56	1008	1	3	1	0	24	3
430	0	84865.0	35942400000000000	63	1688	0	1	0	5	16	0
431	1	42387.0	52531200000000000	35	684	1	3	1	0	21	3
432	0	67309.0	45100800000000000	57	1082	2	4	1	0	39	3
433	1	75236.0	18662400000000000	60	1068	1	3	1	0	25	3
434	1	30015.0	12700800000000000	54	57	1	2	1	0	7	1
435	0	50943.0	32227200000000000	68	46	1	3	1	0	5	1
436	1	67272.0	16416000000000000	58	733	1	2	1	0	23	3
437	0	51529.0	25488000000000000	75	467	1	2	1	0	17	3
438	0	32011.0	26870400000000000	53	122	1	3	1	0	10	1
439	0	7500.0	43804800000000000	38	36	1	3	1	0	7	1
440	1	28691.0	31104000000000000	35	34	1	3	1	0	5	1
441	0	56223.0	16502400000000000	76	156	1	3	1	0	10	1
442	1	18100.0	28252800000000000	78	14	0	2	0	0	4	2
443	1	30279.0	47174400000000000	35	37	1	2	1	0	5	1
444	0	20130.0	8985600000000000	50	34	0	2	0	0	5	2
445	1	23295.0	30326400000000000	65	20	0	1	0	0	4	2
446	0	42618.0	22723200000000000	52	192	1	2	1	0	11	1
